base_variant,guardrail,variant,entry_date,entry_price,entry_origin,exit_date,exit_price,exit_origin,status,net_return,max_drawdown,days
current_rsi40_65_mom7_high5,gap__gm15p0,current_rsi40_65_mom7_high5__gap__gm15p0,2025-08-25,4377.02,standard,2025-09-22,4202.42,sma50_exit,closed,-0.04296004720216051,-0.10864834367695653,28
current_rsi40_65_mom7_high5,gap__gm15p0,current_rsi40_65_mom7_high5__gap__gm15p0,2025-10-01,4350.52,standard,2025-10-10,3836.15,sma50_exit,closed,-0.12105124432389713,-0.18141526827019916,9
current_rsi40_65_mom7_high5,gap__gm15p0,current_rsi40_65_mom7_high5__gap__gm15p0,2026-08-17,1911.94,breakout_entry,,,,open,0.26474931221691045,-0.037284362826933815,5
current_rsi40_65_mom7_high5,gap__gm15p5,current_rsi40_65_mom7_high5__gap__gm15p5,2017-02-01,10.72,breakout_entry,2017-03-08,16.68,trail8_exit,closed,0.5509950280597011,-0.15243902439024393,35
current_rsi40_65_mom7_high5,gap__gm15p5,current_rsi40_65_mom7_high5__gap__gm15p5,2017-03-18,33.64,standard,2017-06-21,325.41,trail8_exit,closed,8.642375774363853,-0.20301318267419965,95
current_rsi40_65_mom7_high5,gap__gm15p5,current_rsi40_65_mom7_high5__gap__gm15p5,2017-08-05,251.85,standard,2017-09-04,316.86,trail8_exit,closed,0.2541070445169744,-0.1934736681344974,30
current_rsi40_65_mom7_high5,gap__gm15p5,current_rsi40_65_mom7_high5__gap__gm15p5,2017-10-12,302.12,standard,2017-10-23,285.83,sma50_exit,closed,-0.05694400991394166,-0.15527381269025042,11
current_rsi40_65_mom7_high5,gap__gm15p5,current_rsi40_65_mom7_high5__gap__gm15p5,2017-11-03,306.0,standard,2017-11-07,292.42,sma50_exit,closed,-0.0474346255058824,-0.04437908496732024,4
current_rsi40_65_mom7_high5,gap__gm15p5,current_rsi40_65_mom7_high5__gap__gm15p5,2017-11-08,307.91,standard,2017-12-06,432.49,trail8_exit,closed,0.4001076261712835,-0.09431868154880318,28
current_rsi40_65_mom7_high5,gap__gm15p5,current_rsi40_65_mom7_high5__gap__gm15p5,2019-03-27,139.08,breakout_entry,2019-04-11,164.92,trail8_exit,closed,0.18200084983606524,-0.08752904725019373,15
current_rsi40_65_mom7_high5,gap__gm15p5,current_rsi40_65_mom7_high5__gap__gm15p5,2019-04-23,170.14,standard,2019-04-25,152.05,trail8_exit,closed,-0.10918167833548842,-0.10632420359703765,2
current_rsi40_65_mom7_high5,gap__gm15p5,current_rsi40_65_mom7_high5__gap__gm15p5,2019-05-03,164.74,standard,2019-07-11,268.68,sma50_exit,closed,0.6257187800218524,-0.19763483246729974,69
