year,base_variant,guardrail,buy_signals,total_return,annualized_return,max_drawdown,sharpe_ratio
2025,current_rsi40_65_mom7_high5,risk2of3__sp0p0__gm15p0__rm10p0,3,0.3294194875058152,0.3304598450747036,-0.27947544130460145,1.0721727486550303
2026,current_rsi40_65_mom7_high5,risk2of3__sp0p0__gm15p0__rm10p0,1,0.2647543668435781,0.4447579759490248,-0.037284362826933815,1.5884896160020343
2016,rsi40_mom7_high5,none,0,0.0,0.0,0.0,
2017,rsi40_mom7_high5,none,6,22.60494464764656,22.810854027883387,-0.3008047360399173,3.8455404835157956
2018,rsi40_mom7_high5,none,1,-0.12845437116237424,-0.12878350198109212,-0.16629911330049252,-1.3608179180157487
2019,rsi40_mom7_high5,none,3,0.7116433927974357,0.7141725383951218,-0.20697453458592874,1.3580271860064153
2020,rsi40_mom7_high5,none,4,3.613670523020776,3.613670523020776,-0.1970182021386796,2.869967427238246
2021,rsi40_mom7_high5,none,5,6.707393298662055,6.75075626795744,-0.23392731853378423,3.0394547624526993
2022,rsi40_mom7_high5,none,1,-0.05277633443826235,-0.052917418699411134,-0.10200172363871729,-0.47517150154534227
2023,rsi40_mom7_high5,none,6,0.6329755564503938,0.6351770871939588,-0.23626180018602227,1.428006282421204
2024,rsi40_mom7_high5,none,6,0.36941897568324866,0.36941897568324866,-0.36563880251736103,1.0402504104365187
2025,rsi40_mom7_high5,none,5,0.09058352143718218,0.09084335362946239,-0.2794754413046011,0.4251158565809041
2026,rsi40_mom7_high5,none,2,0.12326852527105903,0.19973059767588053,-0.12609272628635815,0.7557627899535918
2016,rsi40_mom7_high5,slope_gap__sp0p0__gm15p0,0,0.0,0.0,0.0,
2017,rsi40_mom7_high5,slope_gap__sp0p0__gm15p0,6,22.60494464764656,22.810854027883387,-0.3008047360399173,3.8455404835157956
2018,rsi40_mom7_high5,slope_gap__sp0p0__gm15p0,0,0.0,0.0,0.0,
2019,rsi40_mom7_high5,slope_gap__sp0p0__gm15p0,3,0.7116433927974357,0.7141725383951218,-0.20697453458592874,1.3580271860064153
2020,rsi40_mom7_high5,slope_gap__sp0p0__gm15p0,4,3.613670523020776,3.613670523020776,-0.1970182021386796,2.869967427238246
2021,rsi40_mom7_high5,slope_gap__sp0p0__gm15p0,5,6.707393298662055,6.75075626795744,-0.23392731853378423,3.0394547624526993
2022,rsi40_mom7_high5,slope_gap__sp0p0__gm15p0,1,-0.05277633443826235,-0.052917418699411134,-0.10200172363871729,-0.47517150154534227
2023,rsi40_mom7_high5,slope_gap__sp0p0__gm15p0,6,0.6329755564503938,0.6351770871939588,-0.23626180018602227,1.428006282421204
2024,rsi40_mom7_high5,slope_gap__sp0p0__gm15p0,6,0.36941897568324866,0.36941897568324866,-0.36563880251736103,1.0402504104365187
2025,rsi40_mom7_high5,slope_gap__sp0p0__gm15p0,5,0.09058352143718218,0.09084335362946239,-0.2794754413046011,0.4251158565809041
2026,rsi40_mom7_high5,slope_gap__sp0p0__gm15p0,1,0.2647543668435781,0.4447579759490248,-0.037284362826933815,1.5884896160020343
2016,rsi40_mom7_high5,risk2of3__sp0p0__gm15p0__rm10p0,0,0.0,0.0,0.0,
2017,rsi40_mom7_high5,risk2of3__sp0p0__gm15p0__rm10p0,6,22.60494464764656,22.810854027883387,-0.3008047360399173,3.8455404835157956
2018,rsi40_mom7_high5,risk2of3__sp0p0__gm15p0__rm10p0,0,0.0,0.0,0.0,
2019,rsi40_mom7_high5,risk2of3__sp0p0__gm15p0__rm10p0,3,0.7116433927974357,0.7141725383951218,-0.20697453458592874,1.3580271860064153
2020,rsi40_mom7_high5,risk2of3__sp0p0__gm15p0__rm10p0,4,3.613670523020776,3.613670523020776,-0.1970182021386796,2.869967427238246
2021,rsi40_mom7_high5,risk2of3__sp0p0__gm15p0__rm10p0,5,6.707393298662055,6.75075626795744,-0.23392731853378423,3.0394547624526993
2022,rsi40_mom7_high5,risk2of3__sp0p0__gm15p0__rm10p0,1,-0.08624596679800456,-0.08647235357854688,-0.10200172363871729,-1.079506258625895
2023,rsi40_mom7_high5,risk2of3__sp0p0__gm15p0__rm10p0,6,0.6329755564503938,0.6351770871939588,-0.23626180018602227,1.428006282421204
2024,rsi40_mom7_high5,risk2of3__sp0p0__gm15p0__rm10p0,6,0.36941897568324866,0.36941897568324866,-0.36563880251736103,1.0402504104365187
2025,rsi40_mom7_high5,risk2of3__sp0p0__gm15p0__rm10p0,5,0.09058352143718218,0.09084335362946239,-0.2794754413046011,0.4251158565809041
2026,rsi40_mom7_high5,risk2of3__sp0p0__gm15p0__rm10p0,1,0.2647543668435781,0.4447579759490248,-0.037284362826933815,1.5884896160020343
