variant,label,signal_date,signal_close,effective_from,exit_date,exit_price,exit_origin,status,net_return,trade_drawdown,trade_days,baseline_next_buy,days_to_baseline_buy,rsi,momentum_7d,volume_rel_20,distance_sma200,sma50_slope_5d,confirmation_reference,confirmation_margin
rsi40_mean7,Proposta: RSI >=40 e Close sopra media7 precedente,2026-01-06,3295.59,2026-01-07,2026-01-20,2936.5,sma50_exit,closed,-0.1118098072150967,-0.12469223386053507,14,,,68.54809241231482,0.1094693679681662,0.5843875941177006,-0.08726234399307764,0.0019207979396462793,3079.5242857142853,0.07016204265315573
rsi40_mean7,Proposta: RSI >=40 e Close sopra media7 precedente,2026-07-28,1919.9,2026-07-29,,,,open,0.25950559924996086,-0.039960414604927386,25,,,58.17682597199675,-0.0047174701918091255,0.21681209731332074,-0.09784241770713697,0.013799512323345198,1902.2671428571427,0.009269390584317971
rsi40_65_high7,"RSI 40-65, Close sopra massimo7 precedente",2017-02-01,10.72,2017-02-02,2017-03-08,16.68,trail8_exit,closed,0.5509950280597011,-0.15243902439024393,35,2017-03-18,45.0,61.04685813146917,0.01611374407582944,0.2126104849194732,-0.005819480188263615,0.02492691183258966,10.7,0.0018691588785046953
rsi40_65_high7,"RSI 40-65, Close sopra massimo7 precedente",2019-03-27,139.08,2019-03-28,2019-04-11,164.92,trail8_exit,closed,0.18200084983606524,-0.08752904725019373,15,2019-04-23,27.0,56.30464199513452,0.0025228861817920833,0.4122320856994015,-0.09182712980348706,0.02225603868465975,138.73,0.0025228861817920833
rsi40_65_high7,"RSI 40-65, Close sopra massimo7 precedente",2023-01-06,1268.84,2023-01-07,2023-03-03,1569.54,sma50_exit,closed,0.23303291984994168,-0.09872074098894257,56,2023-02-15,40.0,59.159195113766316,0.05816028688182806,0.2651971681357934,-0.08657795325115425,0.0012527289960140298,1256.34,0.00994953595364323
rsi40_65_high7,"RSI 40-65, Close sopra massimo7 precedente",2024-11-06,2724.27,2024-11-07,2024-12-18,3624.84,trail8_exit,closed,0.3263185336219978,-0.09531665314781301,42,2024-12-09,33.0,61.016214229448266,0.024870587173082104,2.0410025321143843,-0.07900863009147197,0.0053974182089220335,2658.16,0.024870587173082104
rsi40_65_high7,"RSI 40-65, Close sopra massimo7 precedente",2026-01-13,3323.38,2026-01-14,2026-01-20,2936.5,sma50_exit,closed,-0.11923682593022777,-0.12469223386053507,7,,,64.75244995747667,0.008432480982160984,0.677278663037175,-0.08629739862487107,0.010497647033403723,3295.59,0.008432480982160984
rsi40_65_high7,"RSI 40-65, Close sopra massimo7 precedente",2026-08-17,1911.94,2026-08-18,,,,open,0.26474931221691045,-0.037284362826933815,5,,,56.60937915220985,0.021641089214722298,0.5306269438502533,-0.04797028438771889,0.016880965162540562,1884.61,0.014501674086415894
rsi40_high7,RSI >=40 e Close sopra massimo7 precedente,2017-02-01,10.72,2017-02-02,2017-03-08,16.68,trail8_exit,closed,0.5509950280597011,-0.15243902439024393,35,2017-03-18,45.0,61.04685813146917,0.01611374407582944,0.2126104849194732,-0.005819480188263615,0.02492691183258966,10.7,0.0018691588785046953
rsi40_high7,RSI >=40 e Close sopra massimo7 precedente,2018-05-03,775.51,2018-05-04,2018-05-11,678.05,trail8_exit,closed,-0.12846774921277626,-0.16496305418719215,8,2019-04-23,355.0,71.61990046759124,0.17323751891074135,0.46839802995781965,0.18793984705567435,0.003179446066632119,687.51,0.12799813820889883
rsi40_high7,RSI >=40 e Close sopra massimo7 precedente,2019-03-27,139.08,2019-03-28,2019-04-11,164.92,trail8_exit,closed,0.18200084983606524,-0.08752904725019373,15,2019-04-23,27.0,56.30464199513452,0.0025228861817920833,0.4122320856994015,-0.09182712980348706,0.02225603868465975,138.73,0.0025228861817920833
rsi40_high7,RSI >=40 e Close sopra massimo7 precedente,2020-01-15,166.29,2020-01-16,2020-02-19,258.66,trail8_exit,closed,0.5505018351650732,-0.09700632270234388,35,2020-05-28,134.0,70.7352442673671,0.18271692745376944,1.050578830597526,-0.09712049361105102,0.004172469732023787,165.76,0.0031973938223939236
rsi40_high7,RSI >=40 e Close sopra massimo7 precedente,2022-03-28,3334.47,2022-03-29,2022-04-06,3168.52,trail8_exit,closed,-0.052806338815104104,-0.10056262383685621,9,2023-02-15,324.0,71.18485005502046,0.1533648325193353,0.4543042923855891,-0.04413656354156148,0.010968149354382506,3296.29,0.011582718753507582
rsi40_high7,RSI >=40 e Close sopra massimo7 precedente,2023-01-06,1268.84,2023-01-07,2023-03-03,1569.54,sma50_exit,closed,0.23303291984994168,-0.09872074098894257,56,2023-02-15,40.0,59.159195113766316,0.05816028688182806,0.2651971681357934,-0.08657795325115425,0.0012527289960140298,1256.34,0.00994953595364323
rsi40_high7,RSI >=40 e Close sopra massimo7 precedente,2023-10-24,1785.28,2023-10-25,2024-01-23,2240.81,sma50_exit,closed,0.2511455595052876,-0.14417696911366495,91,2023-11-22,29.0,72.72115346446685,0.1405790805243925,2.1173409985681864,0.00014263102362566116,0.003394698561620224,1766.27,0.010762793910330748
rsi40_high7,RSI >=40 e Close sopra massimo7 precedente,2024-11-06,2724.27,2024-11-07,2024-12-18,3624.84,trail8_exit,closed,0.3263185336219978,-0.09531665314781301,42,2024-12-09,33.0,61.016214229448266,0.024870587173082104,2.0410025321143843,-0.07900863009147197,0.0053974182089220335,2658.16,0.024870587173082104
rsi40_high7,RSI >=40 e Close sopra massimo7 precedente,2025-05-13,2679.88,2025-05-14,2025-06-05,2415.34,trail8_exit,closed,-0.10159518513127463,-0.09947952396575888,23,2025-07-02,50.0,81.95411391977714,0.4748439787348795,0.35225555242089923,-0.008176103701459936,0.02924995762462923,2583.8,0.03718554067652291
rsi40_high7,RSI >=40 e Close sopra massimo7 precedente,2025-06-10,2816.5,2025-06-11,2025-06-13,2580.21,trail8_exit,closed,-0.08682409609884623,-0.0838949050239659,3,2025-07-02,22.0,67.1300706139388,0.08534390739220732,1.185290178573573,0.05977045142496151,0.045761698199809464,2681.29,0.050427219733784945
rsi40_high7,RSI >=40 e Close sopra massimo7 precedente,2026-01-06,3295.59,2026-01-07,2026-01-20,2936.5,sma50_exit,closed,-0.1118098072150967,-0.12469223386053507,14,,,68.54809241231482,0.1094693679681662,0.5843875941177006,-0.08726234399307764,0.0019207979396462793,3225.19,0.021828171363547533
rsi40_high7,RSI >=40 e Close sopra massimo7 precedente,2026-08-17,1911.94,2026-08-18,,,,open,0.26474931221691045,-0.037284362826933815,5,,,56.60937915220985,0.021641089214722298,0.5306269438502533,-0.04797028438771889,0.016880965162540562,1884.61,0.014501674086415894
rsi40_65_mean7_mom7,"Diagnostica: RSI 40-65, media7 e momentum7",2017-02-01,10.72,2017-02-02,2017-03-08,16.68,trail8_exit,closed,0.5509950280597011,-0.15243902439024393,35,2017-03-18,45.0,61.04685813146917,0.01611374407582944,0.2126104849194732,-0.005819480188263615,0.02492691183258966,10.581428571428573,0.013095720264614474
rsi40_65_mean7_mom7,"Diagnostica: RSI 40-65, media7 e momentum7",2018-05-07,752.42,2018-05-08,2018-05-11,678.05,trail8_exit,closed,-0.1017224744052525,-0.09884107280508225,4,2019-04-23,351.0,63.41569963194995,0.12333348262940236,0.6133763253949418,0.1363868058789086,0.037851752067784794,740.0542857142857,0.016709198939073966
