year,variant,breakout_entries,total_return,annualized_return,max_drawdown,sharpe_ratio
2019,rsi40_mom7_high5,1,0.7116433927974357,0.7141725383951218,-0.20697453458592874,1.3580271860064153
2020,rsi40_mom7_high5,1,3.613670523020776,3.613670523020776,-0.1970182021386796,2.869967427238246
2021,rsi40_mom7_high5,0,6.707393298662055,6.75075626795744,-0.23392731853378423,3.0394547624526993
2022,rsi40_mom7_high5,1,-0.05277633443826235,-0.052917418699411134,-0.10200172363871729,-0.47517150154534227
2023,rsi40_mom7_high5,2,0.6329755564503938,0.6351770871939588,-0.23626180018602227,1.428006282421204
2024,rsi40_mom7_high5,1,0.36941897568324866,0.36941897568324866,-0.36563880251736103,1.0402504104365187
2025,rsi40_mom7_high5,2,0.09058352143718218,0.09084335362946239,-0.2794754413046011,0.4251158565809041
2026,rsi40_mom7_high5,2,0.12326852527105903,0.19973059767588053,-0.12609272628635815,0.7557627899535918
2016,rsi40_65_mean7,0,0.0,0.0,0.0,
2017,rsi40_65_mean7,1,22.60494464764656,22.810854027883387,-0.3008047360399173,3.8455404835157956
2018,rsi40_65_mean7,2,-0.2890390455711521,-0.2897050401227993,-0.2890390455711521,-1.9475305019239093
2019,rsi40_65_mean7,1,0.7116433927974357,0.7141725383951218,-0.20697453458592874,1.3580271860064153
2020,rsi40_65_mean7,2,3.0522749740243444,3.0522749740243444,-0.20611071938773984,2.6268587882414045
2021,rsi40_65_mean7,0,6.707393298662055,6.75075626795744,-0.23392731853378423,3.0394547624526993
2022,rsi40_65_mean7,0,0.0,0.0,0.0,
2023,rsi40_65_mean7,2,0.4412980097242878,0.44274614879978813,-0.25473296383438415,1.1765005335808374
2024,rsi40_65_mean7,1,0.36941897568324866,0.36941897568324866,-0.36563880251736103,1.0402504104365187
2025,rsi40_65_mean7,2,0.11286834245555322,0.11319534379237406,-0.27947544130460167,0.4902197598665832
2026,rsi40_65_mean7,2,0.10933217185953104,0.17649496509670803,-0.16236483273430458,0.7092104068391961
2016,rsi40_mean7,0,0.0,0.0,0.0,
2017,rsi40_mean7,1,22.60494464764656,22.810854027883387,-0.3008047360399173,3.8455404835157956
2018,rsi40_mean7,2,-0.31018854100369464,-0.3108918978204134,-0.3401419202942906,-1.9730784120141904
2019,rsi40_mean7,1,0.7116433927974357,0.7141725383951218,-0.20697453458592874,1.3580271860064153
2020,rsi40_mean7,2,3.0633935722304217,3.0633935722304217,-0.20611071938773984,2.620668788262523
2021,rsi40_mean7,0,6.707393298662055,6.75075626795744,-0.23392731853378423,3.0394547624526993
2022,rsi40_mean7,1,-0.05277633443826235,-0.052917418699411134,-0.10200172363871729,-0.47517150154534227
2023,rsi40_mean7,2,0.6329755564503938,0.6351770871939588,-0.23626180018602227,1.428006282421204
2024,rsi40_mean7,1,0.36941897568324866,0.36941897568324866,-0.36563880251736103,1.0402504104365187
2025,rsi40_mean7,2,0.1711853316892562,0.17169386629097638,-0.27947544130460156,0.6276775427324633
2026,rsi40_mean7,2,0.11859620122567516,0.19192227545834228,-0.16236483273430458,0.7219575135931963
2016,rsi40_65_high7,0,0.0,0.0,0.0,
2017,rsi40_65_high7,1,22.60494464764656,22.810854027883387,-0.3008047360399173,3.8455404835157956
2018,rsi40_65_high7,0,0.0,0.0,0.0,
2019,rsi40_65_high7,1,0.7116433927974357,0.7141725383951218,-0.20697453458592874,1.3580271860064153
2020,rsi40_65_high7,0,1.975666886330571,1.975666886330571,-0.1970182021386795,2.3011309765090955
2021,rsi40_65_high7,0,6.707393298662055,6.75075626795744,-0.23392731853378423,3.0394547624526993
2022,rsi40_65_high7,0,0.0,0.0,0.0,
2023,rsi40_65_high7,1,0.4124974383560538,0.41383823703243205,-0.23626180018602227,1.1409529466217476
2024,rsi40_65_high7,1,0.36941897568324866,0.36941897568324866,-0.36563880251736103,1.0402504104365187
2025,rsi40_65_high7,0,0.3294194875058152,0.3304598450747036,-0.27947544130460145,1.0721727486550303
2026,rsi40_65_high7,2,0.11396580048728566,0.18420222249422036,-0.12609272628635815,0.7470297216898306
2016,rsi40_high7,0,0.0,0.0,0.0,
2017,rsi40_high7,1,22.60494464764656,22.810854027883387,-0.3008047360399173,3.8455404835157956
2018,rsi40_high7,1,-0.12845437116237424,-0.12878350198109212,-0.16629911330049252,-1.3608179180157487
2019,rsi40_high7,1,0.7116433927974357,0.7141725383951218,-0.20697453458592874,1.3580271860064153
2020,rsi40_high7,1,3.613670523020776,3.613670523020776,-0.1970182021386796,2.869967427238246
2021,rsi40_high7,0,6.707393298662055,6.75075626795744,-0.23392731853378423,3.0394547624526993
2022,rsi40_high7,1,-0.05277633443826235,-0.052917418699411134,-0.10200172363871729,-0.47517150154534227
2023,rsi40_high7,2,0.6329755564503938,0.6351770871939588,-0.23626180018602227,1.428006282421204
2024,rsi40_high7,1,0.36941897568324866,0.36941897568324866,-0.36563880251736103,1.0402504104365187
2025,rsi40_high7,2,0.09058352143718218,0.09084335362946239,-0.2794754413046011,0.4251158565809041
2026,rsi40_high7,2,0.12326852527105903,0.19973059767588053,-0.12609272628635815,0.7557627899535918
2016,rsi40_65_mean7_mom7,0,0.0,0.0,0.0,
2017,rsi40_65_mean7_mom7,1,22.60494464764656,22.810854027883387,-0.3008047360399173,3.8455404835157956
2018,rsi40_65_mean7_mom7,1,-0.10173293872462685,-0.10199766111090336,-0.10173293872462685,-1.4391610643536408
2019,rsi40_65_mean7_mom7,1,0.7116433927974357,0.7141725383951218,-0.20697453458592874,1.3580271860064153
2020,rsi40_65_mean7_mom7,2,3.0522749740243444,3.0522749740243444,-0.20611071938773984,2.6268587882414045
2021,rsi40_65_mean7_mom7,0,6.707393298662055,6.75075626795744,-0.23392731853378423,3.0394547624526993
2022,rsi40_65_mean7_mom7,0,0.0,0.0,0.0,
2023,rsi40_65_mean7_mom7,1,0.4124974383560538,0.41383823703243205,-0.23626180018602227,1.1409529466217476
2024,rsi40_65_mean7_mom7,1,0.36941897568324866,0.36941897568324866,-0.36563880251736103,1.0402504104365187
2025,rsi40_65_mean7_mom7,1,0.21651331712596544,0.2171685017982219,-0.27947544130460134,0.778203578513757
2026,rsi40_65_mean7_mom7,2,0.11396580048728566,0.18420222249422036,-0.12609272628635815,0.7470297216898306
2016,rsi40_mean7_mom7,0,0.0,0.0,0.0,
2017,rsi40_mean7_mom7,1,22.60494464764656,22.810854027883387,-0.3008047360399173,3.8455404835157956
2018,rsi40_mean7_mom7,1,-0.12845437116237424,-0.12878350198109212,-0.16629911330049252,-1.3608179180157487
2019,rsi40_mean7_mom7,1,0.7116433927974357,0.7141725383951218,-0.20697453458592874,1.3580271860064153
2020,rsi40_mean7_mom7,2,3.0633935722304217,3.0633935722304217,-0.20611071938773984,2.620668788262523
2021,rsi40_mean7_mom7,0,6.707393298662055,6.75075626795744,-0.23392731853378423,3.0394547624526993
2022,rsi40_mean7_mom7,1,-0.05277633443826235,-0.052917418699411134,-0.10200172363871729,-0.47517150154534227
2023,rsi40_mean7_mom7,2,0.6329755564503938,0.6351770871939588,-0.23626180018602227,1.428006282421204
2024,rsi40_mean7_mom7,1,0.36941897568324866,0.36941897568324866,-0.36563880251736103,1.0402504104365187
2025,rsi40_mean7_mom7,2,0.1711853316892562,0.17169386629097638,-0.27947544130460156,0.6276775427324633
2026,rsi40_mean7_mom7,2,0.12326852527105903,0.19973059767588053,-0.12609272628635815,0.7557627899535918
2016,rsi40_mean5,0,0.0,0.0,0.0,
2017,rsi40_mean5,1,22.60494464764656,22.810854027883387,-0.3008047360399173,3.8455404835157956
2018,rsi40_mean5,2,-0.31018854100369464,-0.3108918978204134,-0.3401419202942906,-1.9730784120141904
2019,rsi40_mean5,1,0.7116433927974357,0.7141725383951218,-0.20697453458592874,1.3580271860064153
2020,rsi40_mean5,2,3.0633935722304217,3.0633935722304217,-0.20611071938773984,2.620668788262523
2021,rsi40_mean5,0,6.707393298662055,6.75075626795744,-0.23392731853378423,3.0394547624526993
2022,rsi40_mean5,1,-0.05277633443826235,-0.052917418699411134,-0.10200172363871729,-0.47517150154534227
2023,rsi40_mean5,2,0.6329755564503938,0.6351770871939588,-0.23626180018602227,1.428006282421204
2024,rsi40_mean5,1,0.36941897568324866,0.36941897568324866,-0.36563880251736103,1.0402504104365187
2025,rsi40_mean5,2,0.1711853316892562,0.17169386629097638,-0.27947544130460156,0.6276775427324633
2026,rsi40_mean5,2,0.11859620122567516,0.19192227545834228,-0.16236483273430458,0.7219575135931963
2016,rsi40_mean10,0,0.0,0.0,0.0,
2017,rsi40_mean10,1,24.430658486071497,24.657744624636575,-0.3008047360399171,3.9142810341424927
2018,rsi40_mean10,1,-0.12845437116237424,-0.12878350198109212,-0.16629911330049252,-1.3608179180157487
2019,rsi40_mean10,1,0.7116433927974357,0.7141725383951218,-0.20697453458592874,1.3580271860064153
2020,rsi40_mean10,2,3.0633935722304217,3.0633935722304217,-0.20611071938773984,2.620668788262523
2021,rsi40_mean10,0,6.707393298662055,6.75075626795744,-0.23392731853378423,3.0394547624526993
2022,rsi40_mean10,1,-0.05277633443826235,-0.052917418699411134,-0.10200172363871729,-0.47517150154534227
2023,rsi40_mean10,2,0.6329755564503938,0.6351770871939588,-0.23626180018602227,1.428006282421204
2024,rsi40_mean10,1,0.36941897568324866,0.36941897568324866,-0.36563880251736103,1.0402504104365187
2025,rsi40_mean10,2,0.1711853316892562,0.17169386629097638,-0.27947544130460156,0.6276775427324633
2026,rsi40_mean10,2,0.11859620122567516,0.19192227545834228,-0.16236483273430458,0.7219575135931963
2016,rsi40_high5,0,0.0,0.0,0.0,
2017,rsi40_high5,1,22.60494464764656,22.810854027883387,-0.3008047360399173,3.8455404835157956
2018,rsi40_high5,1,-0.12845437116237424,-0.12878350198109212,-0.16629911330049252,-1.3608179180157487
2019,rsi40_high5,1,0.7116433927974357,0.7141725383951218,-0.20697453458592874,1.3580271860064153
2020,rsi40_high5,1,3.613670523020776,3.613670523020776,-0.1970182021386796,2.869967427238246
2021,rsi40_high5,0,6.707393298662055,6.75075626795744,-0.23392731853378423,3.0394547624526993
2022,rsi40_high5,1,-0.05277633443826235,-0.052917418699411134,-0.10200172363871729,-0.47517150154534227
2023,rsi40_high5,2,0.6329755564503938,0.6351770871939588,-0.23626180018602227,1.428006282421204
2024,rsi40_high5,1,0.36941897568324866,0.36941897568324866,-0.36563880251736103,1.0402504104365187
2025,rsi40_high5,2,0.09058352143718218,0.09084335362946239,-0.2794754413046011,0.4251158565809041
2026,rsi40_high5,2,0.12599795039338502,0.20430050075183281,-0.14389443363249088,0.7647518812010858
2016,rsi40_high10,0,0.0,0.0,0.0,
2017,rsi40_high10,1,21.176674560342075,21.366289450087063,-0.3008047360399173,3.7785714837801305
2018,rsi40_high10,1,-0.12845437116237424,-0.12878350198109212,-0.16629911330049252,-1.3608179180157487
2019,rsi40_high10,1,0.7116433927974357,0.7141725383951218,-0.20697453458592874,1.3580271860064153
2020,rsi40_high10,1,3.613670523020776,3.613670523020776,-0.1970182021386796,2.869967427238246
2021,rsi40_high10,0,6.707393298662055,6.75075626795744,-0.23392731853378423,3.0394547624526993
2022,rsi40_high10,1,-0.05277633443826235,-0.052917418699411134,-0.10200172363871729,-0.47517150154534227
2023,rsi40_high10,2,0.6329755564503938,0.6351770871939588,-0.23626180018602227,1.428006282421204
2024,rsi40_high10,1,0.36941897568324866,0.36941897568324866,-0.36563880251736103,1.0402504104365187
2025,rsi40_high10,2,0.09058352143718218,0.09084335362946239,-0.2794754413046011,0.4251158565809041
2026,rsi40_high10,2,0.12072991352437668,0.19548581785239905,-0.12609272628635815,0.7462420141420806
2016,rsi40_momentum7_only,0,0.0,0.0,0.0,
2017,rsi40_momentum7_only,1,22.60494464764656,22.810854027883387,-0.3008047360399173,3.8455404835157956
2018,rsi40_momentum7_only,1,-0.12845437116237424,-0.12878350198109212,-0.16629911330049252,-1.3608179180157487
2019,rsi40_momentum7_only,1,0.7116433927974357,0.7141725383951218,-0.20697453458592874,1.3580271860064153
2020,rsi40_momentum7_only,2,3.0633935722304217,3.0633935722304217,-0.20611071938773984,2.620668788262523
2021,rsi40_momentum7_only,0,6.707393298662055,6.75075626795744,-0.23392731853378423,3.0394547624526993
2022,rsi40_momentum7_only,1,-0.05277633443826235,-0.052917418699411134,-0.10200172363871729,-0.47517150154534227
2023,rsi40_momentum7_only,2,0.6329755564503938,0.6351770871939588,-0.23626180018602227,1.428006282421204
2024,rsi40_momentum7_only,1,0.36941897568324866,0.36941897568324866,-0.36563880251736103,1.0402504104365187
2025,rsi40_momentum7_only,2,0.1711853316892562,0.17169386629097638,-0.27947544130460156,0.6276775427324633
2026,rsi40_momentum7_only,2,0.12326852527105903,0.19973059767588053,-0.12609272628635815,0.7557627899535918
