date,event,reason,mode,cooldown_days,entry_date,entry_close,exit_close,trade_return,peak_close,stop_level,momentum_7d,volume_rel,official_buy_still_true,days_since_trail,reset_seen_red,green_streak
2019-07-09,BLOCKED_ENTRY,cooldown_30,cooldown,30,,308.8810119628906,,,,,,,,12.0,False,0.0
2020-06-02,ENTRY,Buy,cooldown,30,2020-06-02,237.21905517578125,,,,,,,,,,
2020-07-17,EXIT,Official_Sell,cooldown,30,2020-06-02,237.21905517578125,232.7730865478516,-0.0187420383435688,,,,,,,,
2020-07-21,ENTRY,Buy,cooldown,30,2020-07-21,245.0167236328125,,,,,,,,,,
2020-09-03,EXIT,Trail8,cooldown,30,2020-07-21,245.0167236328125,385.67193603515625,0.5740637223324101,477.0519104003906,438.8877575683594,0.007943145479867297,0.5936218148708647,True,,,
2020-10-12,ENTRY,Buy,cooldown,30,2020-10-12,387.7312622070313,,,,,,,,,,
2020-10-17,EXIT,Official_Sell,cooldown,30,2020-10-12,387.7312622070313,368.8559265136719,-0.04868149033409852,,,,,,,,
2020-10-21,ENTRY,Buy,cooldown,30,2020-10-21,392.1899719238281,,,,,,,,,,
2020-11-26,EXIT,Trail8,cooldown,30,2020-10-21,392.1899719238281,518.8011474609375,0.3228312414925796,608.4540405273438,559.7777172851563,0.1000162672266629,0.8502485207726849,True,,,
2020-11-27,BLOCKED_ENTRY,cooldown_30,cooldown,30,,517.4937133789062,,,,,,,,1.0,False,0.0
2020-12-16,BLOCKED_ENTRY,cooldown_30,cooldown,30,,636.1818237304688,,,,,,,,20.0,False,0.0
2020-12-17,BLOCKED_ENTRY,cooldown_30,cooldown,30,,642.8689575195312,,,,,,,,21.0,False,0.0
2020-12-21,BLOCKED_ENTRY,cooldown_30,cooldown,30,,609.81787109375,,,,,,,,25.0,False,0.0
2020-12-22,BLOCKED_ENTRY,cooldown_30,cooldown,30,,634.8541870117188,,,,,,,,26.0,False,0.0
2020-12-27,ENTRY,Buy,cooldown,30,2020-12-27,682.642333984375,,,,,,,,,,
