Date,EquityStrategy,EquityBuyHold,DailyReturnStrategy,DailyReturnBuyHold,EffectiveExposure,Turnover
2019-04-24,14.122950897687591,20.092134146341465,-0.03180228047490296,-0.025802280474903072,1.0,1.0
2019-04-25,12.955624036159266,18.431426829268297,-0.08265460030165905,-0.08265460030165894,1.0,0.0
2019-04-26,12.877890291942311,18.59628536585366,-0.006,0.008944426175599984,0.0,1.0
2019-04-27,12.877890291942311,18.869029268292685,0.0,0.014666579753601416,0.0,0.0
2019-04-28,12.877890291942311,18.569617073170733,-0.0,-0.01586791725555703,0.0,0.0
2019-04-29,12.877890291942311,18.469004878048786,-0.0,-0.005418108231607599,0.0,0.0
2019-04-30,12.877890291942311,19.443609756097562,0.0,0.05276975584142796,0.0,0.0
2019-05-01,12.877890291942311,19.18904878048781,-0.0,-0.01309226932668306,0.0,0.0
2019-05-02,12.877890291942311,19.237536585365856,0.0,0.0025268477574225123,0.0,0.0
2019-05-03,12.877890291942311,19.969702439024392,0.0,0.038059231253938286,0.0,0.0
2019-05-04,12.574708764542281,19.619378048780487,-0.02354279470681086,-0.01754279470681086,1.0,1.0
2019-05-05,12.528092606008297,19.54664634146342,-0.003707136237256714,-0.003707136237256492,1.0,0.0
2019-05-06,13.291043734014506,20.737021951219514,0.06089922480620147,0.06089922480620147,1.0,0.0
2019-05-07,12.936760929156225,20.184260975609757,-0.02665575495411232,-0.02665575495411243,1.0,0.0
2019-05-08,13.175280273655112,20.556404878048784,0.018437331091225806,0.018437331091226028,1.0,0.0
2019-05-09,13.216457880360132,20.6206512195122,0.0031253685576129175,0.0031253685576129175,1.0,0.0
2019-05-10,13.379614435229076,20.875212195121954,0.012344953265533976,0.012344953265533976,1.0,0.0
2019-05-11,14.957571401604445,23.33718048780488,0.1179374020091748,0.1179374020091748,1.0,0.0
2019-05-12,14.624265868086455,22.817148780487805,-0.022283399127363546,-0.022283399127363435,1.0,0.0
2019-05-13,15.267568855855439,23.820846341463415,0.04398873718323326,0.04398873718323326,1.0,0.0
2019-05-14,16.893695852715926,26.35797073170732,0.10650857462724539,0.10650857462724539,1.0,0.0
2019-05-15,19.345705791603503,30.183658536585366,0.14514348785871967,0.14514348785871967,1.0,0.0
2019-05-16,20.5414102580002,32.04922682926829,0.06180722891566259,0.06180722891566259,1.0,0.0
2019-05-17,19.00307702637872,29.64908048780488,-0.07488936797912171,-0.07488936797912171,1.0,0.0
2019-05-18,18.182632636180596,28.369002439024392,-0.04317429167177722,-0.04317429167177733,1.0,0.0
2019-05-19,20.28502138606329,31.64920243902439,0.11562620176900396,0.11562620176900396,1.0,0.0
2019-05-20,19.595879175735888,30.573985365853662,-0.033972959515875645,-0.033972959515875645,1.0,0.0
2019-05-21,19.79166704157862,30.87945853658537,0.009991277456188996,0.009991277456188996,1.0,0.0
2019-05-22,18.904406157481784,29.495131707317075,-0.04483002276831283,-0.04483002276831294,1.0,0.0
2019-05-23,19.08465530381319,29.776360975609755,0.009534769028439971,0.009534769028439749,1.0,0.0
2019-05-24,19.410191477575516,30.284270731707323,0.017057482494707843,0.017057482494707843,1.0,0.0
2019-05-25,19.543824465372936,30.49276829268293,0.0068846815834766595,0.0068846815834766595,1.0,0.0
2019-05-26,20.85063077627563,32.531680487804884,0.06686543430729475,0.06686543430729497,1.0,0.0
2019-05-27,21.07361140126319,32.87958048780489,0.010694190855907948,0.010694190855907948,1.0,0.0
2019-05-28,21.06661897748309,32.86867073170732,-0.00033180946763022856,-0.0003318094676303396,1.0,0.0
2019-05-29,20.9298782457834,32.655324390243905,-0.006490872210953347,-0.006490872210953347,1.0,0.0
2019-05-30,19.78234380987182,30.864912195121953,-0.05482757340658517,-0.054827573406585284,1.0,0.0
2019-05-31,20.801683809814943,32.455312195121955,0.051527766868274316,0.051527766868274316,1.0,0.0
2019-06-01,20.571710761047285,32.09650243902439,-0.011055501606035856,-0.011055501606035745,1.0,0.0
2019-06-02,20.917447270174343,32.635929268292685,0.016806405317622453,0.01680640531762223,1.0,0.0
2019-06-03,19.388437270259654,30.25032926829269,-0.07309735170671916,-0.07309735170671905,1.0,0.0
2019-06-04,18.718718459321412,29.205417073170736,-0.034542175916649986,-0.034542175916649986,1.0,0.0
2019-06-05,19.137486950151704,29.85879024390244,0.022371643215871817,0.022371643215871817,1.0,0.0
2019-06-06,19.376783230626156,30.232146341463416,0.012504059759662178,0.012504059759662178,1.0,0.0
2019-06-07,19.383775654406254,30.24305609756098,0.0003608660785885398,0.00036086607858876185,1.0,0.0
2019-06-08,18.980545883087288,29.613926829268298,-0.0208024369714217,-0.0208024369714217,1.0,0.0
2019-06-09,17.97052911485096,28.03807317073171,-0.05321326238231683,-0.05321326238231694,1.0,0.0
2019-06-10,19.255581218437797,30.043043902439027,0.07150886294855163,0.07150886294855163,1.0,0.0
2019-06-11,19.04347769710817,29.712114634146346,-0.011015171078114894,-0.011015171078114894,1.0,0.0
2019-06-12,20.42720066959194,31.87103414634147,0.07266125413079849,0.07266125413079849,1.0,0.0
2019-06-13,19.842944815966003,30.959463414634147,-0.02860185607789445,-0.02860185607789456,1.0,0.0
2019-06-14,20.495571035441785,31.977707317073172,0.03288958496476124,0.03288958496476124,1.0,0.0
2019-06-15,20.92210888602774,32.64320243902439,0.020811220621683058,0.020811220621683058,1.0,0.0
2019-06-16,20.847523032373363,32.52683170731708,-0.0035649300011141305,-0.0035649300011139085,1.0,0.0
2019-06-17,21.28571492259282,33.210509756097565,0.021018894644654118,0.021018894644653896,1.0,0.0
2019-06-18,20.53985638604907,32.04680243902439,-0.03504033288316244,-0.03504033288316255,1.0,0.0
