Data,Open,High,Low,Close,ETH-USD,SMA50,SMA200,RSI,ATR,Volume,VolumeAvg20,Azione,Livello_Rischio,Standard_Entry,Breakout_Raw,Breakout_Guard_Passed,Breakout_Entry,Entry_Path,Position_Open,Official_Sell,Trail8_Stop_Hit,Trail8_Confirmed
2020-01-25,162.31,162.41,157.4,160.12,160.12,143.2674,177.6775,55.841725572772546,8.851244365278179,36677.5237579,93300.75720444499,MANTIENI STATO ATTUALE,ALTO,False,False,True,False,,False,False,False,False
2020-01-26,160.0,167.59,159.09,167.35,167.35,143.6658,177.07104999999999,61.65531756772483,8.826155482044024,44653.7353865,90957.2634774155,MANTIENI STATO ATTUALE,ALTO,False,False,True,False,,False,False,False,False
2020-01-27,167.58,171.7,164.89,169.77,169.77,144.047,176.57649999999998,63.39257198323786,8.682144376183738,84463.87778454,90354.186239732,MANTIENI STATO ATTUALE,ALTO,False,False,True,False,,False,False,False,False
2020-01-28,169.78,176.5,169.78,175.99,175.99,144.6208,176.07870000000003,67.4718002565051,8.542705492170613,102264.17475594,90383.29033174,MANTIENI STATO ATTUALE,ALTO,False,False,True,False,,False,False,False,False
2020-01-29,175.91,178.31,173.13,173.45,173.45,145.17880000000002,175.60075,64.31983287424222,8.302512242729856,85409.92407361,91594.536568522,MANTIENI STATO ATTUALE,ALTO,False,False,True,False,,False,False,False,False
2020-01-30,173.41,186.89,170.0,184.55,184.55,146.00400000000002,175.3947,70.75044876536205,8.915904225392008,104426.47390742,89934.8103523275,MANTIENI STATO ATTUALE,ALTO,False,False,True,False,,False,False,False,False
2020-01-31,184.52,185.68,175.0,179.74,179.74,146.705,175.15200000000002,65.26149597830408,9.041911066435437,108639.77662455,92724.2737451775,MANTIENI STATO ATTUALE,MEDIO,False,False,True,False,,False,False,False,False
2020-02-01,179.72,184.2,179.0,183.5,183.5,147.481,175.07505,67.39121525667596,8.767488847404334,65650.16851655,94234.24890483801,MANTIENI STATO ATTUALE,MEDIO,False,False,True,False,,False,False,False,False
2020-02-02,183.49,193.52,178.98,188.29,188.29,148.41219999999998,174.95950000000002,69.92112587709295,9.17981107258974,96138.84421015,96837.558183316,MANTIENI STATO ATTUALE,MEDIO,False,False,True,False,,False,False,False,False
2020-02-03,188.22,195.21,186.25,189.42,189.42,149.353,174.77505000000002,70.50253635250475,9.164110281690473,89093.19595622,88371.7871841145,MANTIENI STATO ATTUALE,ALTO,False,False,True,False,,False,False,False,False
2020-02-04,189.41,191.37,184.29,188.24,188.24,150.4706,174.6102,69.00259274060153,9.015245261569726,89059.71463466,84560.138611065,MANTIENI STATO ATTUALE,MEDIO,False,False,True,False,,False,False,False,False
2020-02-05,188.25,207.93,186.89,204.0,204.0,152.114,174.48574999999997,76.26548295981574,9.874156314314746,143938.17466042,87347.6098285615,MANTIENI STATO ATTUALE,ALTO,False,False,True,False,,False,False,False,False
2020-02-06,204.01,216.49,200.54,212.95,212.95,153.71519999999998,174.4223,79.24027860301376,10.308145149006553,162316.43667648,88717.448338007,MANTIENI STATO ATTUALE,ALTO,False,False,True,False,,False,False,False,False
2020-02-07,212.94,224.78,212.94,223.22,223.22,155.616,174.45275,82.02442251943819,10.41756335264894,161651.51487279,91147.4079389425,MANTIENI STATO ATTUALE,ALTO,False,False,True,False,,False,False,False,False
2020-02-08,223.22,228.4,213.24,223.37,223.37,157.516,174.50995,82.06226184081999,10.75630882745973,137475.60159995,92349.50353938251,MANTIENI STATO ATTUALE,ALTO,False,False,True,False,,False,False,False,False
2020-02-09,223.36,230.9,223.16,228.8,228.8,159.55020000000002,174.57100000000003,83.42266738464764,10.540858196926894,111211.55092349,94593.0423680075,MANTIENI STATO ATTUALE,ALTO,False,False,True,False,,False,False,False,False
2020-02-10,228.8,229.6,216.31,222.85,222.85,161.3592,174.58884999999998,76.56997788589788,10.737225468574973,106485.3898759,96841.3870838925,MANTIENI STATO ATTUALE,ALTO,False,False,True,False,,False,False,False,False
2020-02-11,222.86,239.92,217.83,237.98,237.98,163.5632,174.68200000000002,80.87265146103158,11.54813793510533,174444.85728588,103091.0040201075,MANTIENI STATO ATTUALE,ALTO,False,False,True,False,,False,False,False,False
2020-02-12,237.99,276.15,237.95,266.49,266.49,166.33880000000002,174.97889999999998,86.06545128740714,13.451842368312093,293996.34960631,114325.36928880498,MANTIENI STATO ATTUALE,ALTO,False,False,True,False,,False,False,False,False
